league,id,name_ko,partner1,partner2,partner3,covers,party_note
great,charjabug,전지충이,따라큐,두드리짱,내룸벨트,그림자 나인테일·파비코리·악식킹 / 따라큐·파비코리·내룸벨트·악식킹 / 따라큐·파비코리,
great,cradily,릴리요,누오,탱탱겔,엠페르트,두드리짱·그림자 깜까미·엠페르트 / 두드리짱·엠페르트 / 두드리짱,
great,diggersby,파르토,따라큐,두드리짱,악식킹,파비코리·누오·탱탱겔·악식킹 / 파비코리·내룸벨트·악식킹 / 누오·탱탱겔,
great,ninetales_alolan,알로라 나인테일,따라큐,그림자 깜까미,엠페르트,그림자 나인테일·탱탱겔 / 그림자 나인테일·탱탱겔·내룸벨트 / 그림자 나인테일·두드리짱·내룸벨트,
great,lapras_shadow,그림자 라프라스,그림자 깜까미,내룸벨트,누오,탱탱겔·내룸벨트·엠페르트 / 따라큐·탱탱겔 / 내룸벨트·엠페르트·두드리짱,
great,swampert,대짱이,따라큐,두드리짱,내룸벨트,그림자 깜까미·파비코리·누오·탱탱겔 / 그림자 깜까미·파비코리·따라큐 / 파비코리·따라큐·탱탱겔,
great,swampert_shadow,그림자 대짱이,따라큐,두드리짱,내룸벨트,그림자 깜까미·파비코리·탱탱겔 / 그림자 깜까미·파비코리·따라큐·내룸벨트 / 파비코리·따라큐·탱탱겔,
great,dewgong,쥬레곤,그림자 깜까미,따라큐,악식킹,탱탱겔·그림자 나인테일·엠페르트 / 탱탱겔·그림자 나인테일·엠페르트·그림자 깜까미 / 탱탱겔·엠페르트·그림자 깜까미,
great,dusclops_shadow,그림자 미라몽,엠페르트,누오,그림자 깜까미,두드리짱·내룸벨트·그림자 나인테일 / 두드리짱·내룸벨트 / 내룸벨트·그림자 나인테일·탱탱겔,
great,ninetales_alolan_shadow,그림자 알로라 나인테일,따라큐,그림자 깜까미,엠페르트,그림자 나인테일·탱탱겔 / 그림자 나인테일·탱탱겔·내룸벨트 / 그림자 나인테일·두드리짱·내룸벨트,
great,doublade,쌍검킬,따라큐,그림자 깜까미,엠페르트,그림자 나인테일·탱탱겔·파비코리 / 그림자 나인테일·내룸벨트·탱탱겔 / 그림자 나인테일·내룸벨트·파비코리,
great,aegislash_shield,킬가르도,따라큐,파비코리,내룸벨트,그림자 나인테일·파비코리·누오 / 그림자 나인테일·누오 / 따라큐·파비코리,
great,dusclops,미라몽,그림자 깜까미,따라큐,내룸벨트,내룸벨트·그림자 나인테일·탱탱겔 / 그림자 나인테일·탱탱겔·누오 / 따라큐·탱탱겔,
great,marowak_shadow,그림자 텅구리,따라큐,내룸벨트,그림자 깜까미,파비코리·그림자 나인테일·탱탱겔·엠페르트 / 따라큐·파비코리·탱탱겔 / 그림자 나인테일·탱탱겔·엠페르트,
great,dragonair,신뇽,누오,내룸벨트,탱탱겔,두드리짱·엠페르트·내룸벨트 / 따라큐·탱탱겔 / 두드리짱·엠페르트,
great,forretress_shadow,그림자 쏘콘,따라큐,파비코리,내룸벨트,그림자 나인테일·파비코리·누오 / 그림자 나인테일·누오 / 파비코리·따라큐,
great,seismitoad,두빅굴,따라큐,그림자 깜까미,파비코리,그림자 나인테일·탱탱겔 / 그림자 나인테일·내룸벨트·탱탱겔 / 그림자 나인테일·아머까오,
great,gourgeist_large,펌킨인,따라큐,파비코리,두드리짱,그림자 나인테일·그림자 깜까미·파비코리 / 그림자 나인테일·그림자 깜까미 / 그림자 깜까미·따라큐·파비코리·내룸벨트,
great,gourgeist_super,펌킨인,따라큐,파비코리,그림자 깜까미,그림자 나인테일·파비코리·탱탱겔 / 그림자 나인테일 / 그림자 나인테일·내룸벨트·탱탱겔,
great,gourgeist_average,펌킨인,따라큐,파비코리,두드리짱,그림자 나인테일·그림자 깜까미·파비코리 / 그림자 나인테일·그림자 깜까미 / 그림자 깜까미·따라큐·파비코리·내룸벨트,
great,grumpig,피그킹,두드리짱,악식킹,따라큐,그림자 깜까미·따라큐·악식킹 / 그림자 깜까미·메더 / 그림자 깜까미·악식킹·메더,
great,talonflame,파이어로,그림자 깜까미,따라큐,악식킹,탱탱겔·내룸벨트·엠페르트 / 탱탱겔·엠페르트·파비코리 / 탱탱겔·엠페르트,
great,registeel,레지스틸,따라큐,파비코리,악식킹,그림자 나인테일·누오·탱탱겔·그림자 깜까미 / 그림자 나인테일·누오·그림자 깜까미 / 누오·탱탱겔·그림자 깜까미,
great,gourgeist_small,펌킨인,따라큐,엠페르트,탱탱겔,그림자 나인테일·파비코리 / 그림자 나인테일·내룸벨트·두드리짱·파비코리 / 그림자 나인테일·두드리짱·파비코리,
great,clefable,픽시,탱탱겔,따라큐,누오,엠페르트·두드리짱·그림자 나인테일 / 엠페르트·그림자 나인테일·탱탱겔 / 엠페르트·두드리짱,
great,drapion_shadow,그림자 드래피온,탱탱겔,누오,따라큐,엠페르트·두드리짱·파비코리 / 엠페르트·두드리짱·내룸벨트 / 엠페르트·파비코리,
great,hydreigon,삼삼드래,탱탱겔,누오,그림자 나인테일,두드리짱·엠페르트·누오 / 두드리짱·엠페르트 / 두드리짱·누오·아머까오,
great,oranguru,하랑우탄,누오,두드리짱,악식킹,그림자 깜까미·두드리짱·내룸벨트·엠페르트 / 그림자 깜까미·내룸벨트 / 그림자 깜까미·엠페르트,
great,samurott,대검귀,따라큐,그림자 깜까미,내룸벨트,그림자 나인테일·탱탱겔·파비코리 / 그림자 나인테일·탱탱겔·내룸벨트 / 따라큐·탱탱겔·파비코리,
great,steelix_shadow,그림자 강철톤,따라큐,파비코리,두드리짱,누오·메더·악식킹·토오·그림자 나인테일 / 누오·토오·그림자 나인테일 / 악식킹,
great,talonflame_shadow,그림자 파이어로,그림자 깜까미,따라큐,악식킹,탱탱겔·내룸벨트·엠페르트 / 탱탱겔·엠페르트·파비코리 / 탱탱겔·엠페르트,
great,wigglytuff,푸크린,탱탱겔,따라큐,누오,두드리짱·엠페르트·그림자 나인테일·누오 / 엠페르트·그림자 나인테일·누오 / 두드리짱·엠페르트·내룸벨트,
great,walrein,씨카이저,따라큐,파비코리,그림자 깜까미,그림자 쏘콘·그림자 나인테일·가라르 코산호·탱탱겔·장크로다일 / 그림자 쏘콘·그림자 나인테일 / 그림자 나인테일·가라르 코산호·탱탱겔,
great,spiritomb,화강돌,따라큐,두드리짱,솜솜코,악식킹·그림자 나인테일·그림자 깜까미 / 악식킹·따라큐·그림자 깜까미 / 악식킹·따라큐,
great,steelix,강철톤,따라큐,두드리짱,파비코리,누오·악식킹·그림자 나인테일·그림자 깜까미 / 악식킹·그림자 깜까미 / 누오·그림자 나인테일·그림자 깜까미,
great,zweilous,디헤드,내룸벨트,그림자 나인테일,탱탱겔,따라큐·파비코리 / 두드리짱·아머까오 / 두드리짱·파비코리,
great,metang,메탕구,따라큐,내룸벨트,그림자 깜까미,파비코리·탱탱겔·그림자 나인테일 / 따라큐·파비코리·탱탱겔 / 탱탱겔·그림자 나인테일,
great,metang_shadow,그림자 메탕구,따라큐,내룸벨트,그림자 깜까미,그림자 나인테일·탱탱겔·파비코리 / 따라큐·탱탱겔·파비코리 / 그림자 나인테일·탱탱겔,
great,walrein_shadow,그림자 씨카이저,엠페르트,따라큐,탱탱겔,두드리짱·그림자 나인테일·내룸벨트 / 그림자 나인테일·탱탱겔 / 두드리짱·그림자 나인테일,
great,zweilous_shadow,그림자 디헤드,그림자 나인테일,엠페르트,누오,두드리짱·솜솜코·아머까오 / 두드리짱·솜솜코 / 두드리짱·토오,
great,bastiodon,바리톱스,악식킹,탱탱겔,따라큐,누오·엠페르트·탱탱겔 / 누오·엠페르트·두드리짱 / 누오·엠페르트·탱탱겔,
great,lickilicky,내룸벨트,악식킹,따라큐,파비코리,누오·엠페르트·그림자 깜까미 / 누오·엠페르트·그림자 깜까미·그림자 나인테일 / 누오·그림자 깜까미·그림자 나인테일,
ultra,corviknight,아머까오,비리디온,악식킹,탱탱겔,쏘콘·탱탱겔·전룡 / 쏘콘·탱탱겔·전룡 / 쏘콘·플라제스·토게키스,
ultra,corviknight_shadow,그림자 아머까오,플라제스,비리디온,엠페르트,토게키스·악식킹 / 악식킹·장크로다일·탱탱겔 / 토게키스·플라제스,
ultra,virizion,비리디온,장크로다일,아머까오,플라제스,토게키스·라우드본·플라제스·지가르데 / 라우드본·지가르데 / 토게키스·라우드본·아머까오·지가르데,
ultra,empoleon,엠페르트,악식킹,비리디온,라우드본,탱탱겔·장크로다일 / 탱탱겔·장크로다일·내룸벨트 / 비리디온,
ultra,empoleon_shadow,그림자 엠페르트,플라제스,라우드본,악식킹,비리디온·아머까오·지가르데·악식킹 / 비리디온 / 탱탱겔,
ultra,mimikyu,따라큐,비리디온,탱탱겔,아머까오,내룸벨트·쏘콘·두드리짱·엠페르트·장크로다일 / 쏘콘·두드리짱·엠페르트 / 내룸벨트·두드리짱·엠페르트·장크로다일,
ultra,florges,플라제스,탱탱겔,비리디온,장크로다일,엠페르트·두드리짱 / 엠페르트·두드리짱·장크로다일·내룸벨트·탱탱겔 / 엠페르트·두드리짱·탱탱겔,
ultra,moltres_galarian,가라르 파이어,엠페르트,플라제스,비리디온,두드리짱·플라제스 / 악식킹·킹드라 / 두드리짱·악식킹·내룸벨트·킹드라,
ultra,feraligatr_shadow,그림자 장크로다일,라우드본,아머까오,플라제스,비리디온 / 비리디온·엠페르트·악식킹·내룸벨트·킹드라 / 비리디온·악식킹·킹드라,
ultra,feraligatr,장크로다일,플라제스,비리디온,아머까오,악식킹·킹드라·비리디온·아머까오 / 악식킹·킹드라·내룸벨트 / 악식킹·킹드라·내룸벨트·비리디온,
ultra,jellicent,탱탱겔,플라제스,비리디온,아머까오,악식킹·비리디온·지가르데 / 악식킹·내룸벨트·장크로다일 / 악식킹·내룸벨트·비리디온·장크로다일·지가르데,
ultra,giratina_altered,기라티나,엠페르트,장크로다일,탱탱겔,두드리짱·플라제스 / 두드리짱·플라제스·탱탱겔 / 두드리짱·플라제스·아머까오,
ultra,guzzlord,악식킹,엠페르트,장크로다일,탱탱겔,두드리짱·플라제스·토게키스 / 두드리짱·플라제스·토게키스 / 두드리짱·플라제스·토게키스·아머까오,
ultra,skeledirge,라우드본,악식킹,비리디온,쏘콘,장크로다일·탱탱겔 / 장크로다일·내룸벨트·탱탱겔 / 아머까오,
ultra,lapras,라프라스,비리디온,악식킹,장크로다일,두드리짱·탱탱겔·내룸벨트·악식킹·엠페르트 / 탱탱겔 / 두드리짱·탱탱겔·엠페르트,
ultra,lapras_shadow,그림자 라프라스,비리디온,플라제스,악식킹,내룸벨트·탱탱겔·쏘콘·악식킹·킹드라 / 악식킹·킹드라 / 탱탱겔·쏘콘,
ultra,dusknoir,야느와르몽,비리디온,플라제스,엠페르트,내룸벨트·악식킹·탱탱겔 / 악식킹·토게키스 / 토게키스·플라제스,
ultra,ninetales_alolan,알로라 나인테일,탱탱겔,악식킹,장크로다일,엠페르트·두드리짱·아머까오 / 장크로다일·탱탱겔 / 엠페르트·두드리짱·탱탱겔,
ultra,dondozo,어써러셔,라우드본,아머까오,악식킹,비리디온 / 비리디온·장크로다일·킹드라 / 탱탱겔·장크로다일,
ultra,dusknoir_shadow,그림자 야느와르몽,엠페르트,비리디온,탱탱겔,두드리짱·플라제스 / 두드리짱·내룸벨트·장크로다일 / 두드리짱·아머까오·플라제스,
ultra,registeel,레지스틸,악식킹,라우드본,플라제스,탱탱겔·장크로다일 / 비리디온 / 비리디온·지가르데·아머까오,
ultra,ninetales_alolan_shadow,그림자 알로라 나인테일,탱탱겔,장크로다일,악식킹,엠페르트·두드리짱·플라제스 / 엠페르트·두드리짱·탱탱겔·플라제스 / 탱탱겔·장크로다일,
ultra,forretress,쏘콘,라우드본,플라제스,아머까오,비리디온 / 비리디온·킹드라·악식킹 / 비리디온·킹드라·내룸벨트·악식킹,
ultra,giratina_altered_shadow,그림자 기라티나,악식킹,장크로다일,엠페르트,탱탱겔·장크로다일 / 탱탱겔·두드리짱·플라제스·엠페르트 / 두드리짱·플라제스,
ultra,regidrago,레지드래고,엠페르트,장크로다일,탱탱겔,두드리짱·플라제스·토게키스 / 두드리짱·플라제스·토게키스 / 두드리짱·플라제스·토게키스·아머까오·쏘콘,
ultra,cresselia,크레세리아,탱탱겔,쏘콘,장크로다일,두드리짱·아머까오·엠페르트·플라제스 / 아머까오 / 두드리짱·엠페르트·플라제스·탱탱겔,
ultra,talonflame,파이어로,악식킹,아머까오,비리디온,장크로다일·탱탱겔 / 킹드라·장크로다일·내룸벨트 / 킹드라·장크로다일·탱탱겔·내룸벨트,
ultra,forretress_shadow,그림자 쏘콘,장크로다일,플라제스,아머까오,라우드본·지가르데 / 라우드본·비리디온·지가르데·악식킹 / 라우드본·비리디온·지가르데·악식킹·내룸벨트,
ultra,walrein,씨카이저,비리디온,악식킹,탱탱겔,쏘콘·탱탱겔·내룸벨트·두드리짱 / 쏘콘·탱탱겔 / 쏘콘·두드리짱·아머까오,
ultra,walrein_shadow,그림자 씨카이저,비리디온,장크로다일,악식킹,전룡·쏘콘·탱탱겔 / 라우드본·저승갓숭·탱탱겔 / 전룡·쏘콘·탱탱겔,
ultra,runerigus,데스판,엠페르트,라우드본,아머까오,플라제스 / 비리디온 / 내룸벨트·비리디온·장크로다일·엠페르트,
ultra,steelix,강철톤,엠페르트,라우드본,플라제스,플라제스 / 비리디온 / 비리디온·악식킹,
ultra,cresselia_shadow,그림자 크레세리아,탱탱겔,쏘콘,비리디온,두드리짱·아머까오·엠페르트 / 아머까오 / 두드리짱·내룸벨트·장크로다일·엠페르트,
ultra,steelix_shadow,그림자 강철톤,플라제스,라우드본,아머까오,악식킹·비리디온·킹드라 / 비리디온 / 악식킹·비리디온·킹드라·두드리짱,
ultra,ampharos,전룡,플라제스,라우드본,비리디온,비리디온·악식킹 / 비리디온 / 악식킹·내룸벨트·두드리짱,
ultra,cradily_shadow,그림자 릴리요,탱탱겔,라우드본,아머까오,두드리짱·엠페르트·킹드라 / 비리디온 / 두드리짱·엠페르트·비리디온·킹드라,
ultra,ampharos_shadow,그림자 전룡,라우드본,아머까오,엠페르트,비리디온 / 비리디온·내룸벨트·두드리짱 / 두드리짱·플라제스,
ultra,talonflame_shadow,그림자 파이어로,악식킹,비리디온,아머까오,탱탱겔·장크로다일 / 킹드라·탱탱겔·장크로다일·내룸벨트·엠페르트 / 킹드라·장크로다일·내룸벨트·엠페르트,
ultra,bellibolt,찌리배리,플라제스,라우드본,아머까오,지가르데·비리디온·악식킹·킹드라 / 비리디온 / 지가르데·비리디온·악식킹·두드리짱·킹드라,
ultra,doublade,쌍검킬,플라제스,비리디온,악식킹,아머까오·악식킹 / 탱탱겔·악식킹·장크로다일·내룸벨트 / 탱탱겔·장크로다일,
ultra,grumpig,피그킹,플라제스,비리디온,쏘콘,악식킹·아머까오 / 악식킹·탱탱겔·장크로다일·엠페르트 / 아머까오,
ultra,grumpig_shadow,그림자 피그킹,쏘콘,탱탱겔,엠페르트,아머까오 / 아머까오·두드리짱·플라제스 / 두드리짱·플라제스,
master,palkia_origin,펄기아 (오리진),자시안 (검왕),제르네아스,칠색조,디아루가 (오리진)·제르네아스·루기아·화이트 큐레무·자마젠타 (방패왕) / 디아루가 (오리진)·루기아·화이트 큐레무 / 제르네아스·자마젠타 (방패왕),
master,zacian_crowned_sword,자시안 (검왕),화이트 큐레무,블랙 큐레무,가이오가,그란돈·네크로즈마 (새벽의 날개)·칠색조·가이오가·펄기아 (오리진) / 그란돈·네크로즈마 (새벽의 날개)·칠색조·가이오가 / 그란돈·네크로즈마 (새벽의 날개)·칠색조,
master,kyurem_white,화이트 큐레무,칠색조,자시안 (검왕),가이오가,제르네아스·망나뇽·자시안 (검왕)·자마젠타 (방패왕) / 제르네아스·망나뇽·자마젠타 (방패왕)·디아루가 (오리진) / 제르네아스·망나뇽·자시안 (검왕)·자마젠타 (방패왕),
master,kyogre,가이오가,제르네아스,자시안 (검왕),디아루가 (오리진),화이트 큐레무·펄기아 (오리진)·디아루가 (오리진)·루기아 / 블랙 큐레무·화이트 큐레무·디아루가 (오리진)·루기아 / 블랙 큐레무·화이트 큐레무·펄기아 (오리진)·루기아,
master,dialga_origin,디아루가 (오리진),가이오가,네크로즈마 (새벽의 날개),칠색조,거대코뿌리·자시안 (검왕)·자마젠타 (방패왕)·그란돈·제르네아스 / 자시안 (검왕)·자마젠타 (방패왕) / 자시안 (검왕)·자마젠타 (방패왕)·그란돈·제르네아스,
master,kyurem_black,블랙 큐레무,제르네아스,네크로즈마 (새벽의 날개),그란돈,화이트 큐레무·디아루가 (오리진)·펄기아 (오리진) / 자시안 (검왕)·자마젠타 (방패왕) / 자시안 (검왕)·디아루가 (오리진),
master,lugia,루기아,자시안 (검왕),제르네아스,자마젠타 (방패왕),블랙 큐레무·화이트 큐레무·디아루가 (오리진)·제르네아스 / 화이트 큐레무·디아루가 (오리진) / 블랙 큐레무·화이트 큐레무·디아루가 (오리진)·제르네아스,
master,lunala,루나아라,펄기아 (오리진),가이오가,화이트 큐레무,칠색조·블랙 큐레무·자시안 (검왕) / 칠색조·자시안 (검왕) / 칠색조·블랙 큐레무,
master,lugia_shadow,그림자 루기아,자시안 (검왕),자마젠타 (방패왕),제르네아스,디아루가 (오리진)·블랙 큐레무·자마젠타 (방패왕)·화이트 큐레무 / 디아루가 (오리진)·블랙 큐레무·화이트 큐레무 / 디아루가 (오리진)·화이트 큐레무,
master,ho_oh,칠색조,디아루가 (오리진),제르네아스,화이트 큐레무,펄기아 (오리진)·가이오가·블랙 큐레무·화이트 큐레무 / 펄기아 (오리진)·화이트 큐레무·디아루가 (오리진) / 펄기아 (오리진)·가이오가·블랙 큐레무,
master,solgaleo,솔가레오,화이트 큐레무,디아루가 (오리진),블랙 큐레무,칠색조·펄기아 (오리진)·가이오가·루기아 / 칠색조·랜드로스 (영물폼)·펄기아 (오리진)·가이오가·루기아 / 칠색조·랜드로스 (영물폼)·가이오가·루기아,
master,primarina,누리레느,화이트 큐레무,자시안 (검왕),디아루가 (오리진),블랙 큐레무·가이오가·펄기아 (오리진) / 블랙 큐레무·디아루가 (오리진) / 블랙 큐레무·가이오가·펄기아 (오리진),
master,zygarde_complete,지가르데,자시안 (검왕),자마젠타 (방패왕),디아루가 (오리진),디아루가 (오리진)·블랙 큐레무 / 디아루가 (오리진)·블랙 큐레무·펄기아 (오리진) / 블랙 큐레무·펄기아 (오리진)·가이오가,
