league	id	name_ko	tier	score	note_ko
great	marowak	텅구리	B	86	
great	walrein_shadow	그림자 씨카이저	B	86	
great	zweilous_shadow	그림자 디헤드	B	86	
great	metang_shadow	그림자 메탕구	B	85	
great	annihilape_shadow	그림자 저승갓숭	B	85	
great	hippowdon_shadow	그림자 하마돈	B	85	
great	metang	메탕구	B	85	
great	electrode_hisuian	히스이 붐볼	B	84	
ultra	mimikyu	따라큐	S	96	
ultra	corviknight	아머까오	S	93	
ultra	corviknight_shadow	그림자 아머까오	A	93	
ultra	florges	플라제스	A	93	
ultra	empoleon_shadow	그림자 엠페르트	A	93	
ultra	virizion	비리디온	A	93	
ultra	empoleon	엠페르트	A	92	
ultra	moltres_galarian	가라르 파이어	A	92	
ultra	jellicent	탱탱겔	A	92	
ultra	forretress	쏘콘	A	92	
ultra	feraligatr_shadow	그림자 장크로다일	A	91	
ultra	forretress_shadow	그림자 쏘콘	A	91	
ultra	ninetales_alolan	알로라 나인테일	A	91	
ultra	registeel	레지스틸	A	91	
ultra	dusknoir	야느와르몽	A	91	
ultra	lapras	라프라스	A	91	
ultra	ninetales_alolan_shadow	그림자 알로라 나인테일	A	91	
ultra	dusknoir_shadow	그림자 야느와르몽	A	91	
ultra	lapras_shadow	그림자 라프라스	A	90	
ultra	talonflame	파이어로	A	90	
ultra	walrein_shadow	그림자 씨카이저	A	90	
ultra	dondozo	어써러셔	A	90	
ultra	regidrago	레지드래고	A	90	
ultra	walrein	씨카이저	A	90	
ultra	giratina_altered	기라티나	A	90	
ultra	bellibolt	찌리배리	A	90	
ultra	talonflame_shadow	그림자 파이어로	A	90	
ultra	cresselia	크레세리아	B	90	
ultra	giratina_altered_shadow	그림자 기라티나	B	90	
ultra	steelix	강철톤	B	90	
ultra	feraligatr	장크로다일	B	90	
ultra	runerigus	데스판	B	90	
ultra	steelix_shadow	그림자 강철톤	B	89	
ultra	cradily_shadow	그림자 릴리요	B	89	
ultra	cresselia_shadow	그림자 크레세리아	B	89	
ultra	ampharos_shadow	그림자 전룡	B	89	
ultra	ampharos	전룡	B	89	
ultra	guzzlord	악식킹	B	88	
ultra	skeledirge	라우드본	B	88	
ultra	grumpig	피그킹	B	87	
ultra	grumpig_shadow	그림자 피그킹	B	86	
ultra	doublade	쌍검킬	B	86	
master	zacian_crowned_sword	자시안 (검왕)	S	99	
master	palkia_origin	펄기아 (오리진)	S	99	
master	metagross	메타그로스	S	98	
master	kyurem_white	화이트 큐레무	A	95	
master	lunala	루나아라	A	95	
master	xerneas	제르네아스	A	95	
master	dialga_origin	디아루가 (오리진)	A	94	
master	reshiram	레시라무	A	94	
master	zamazenta_crowned_shield	자마젠타 (방패왕)	A	94	
master	kyurem_black	블랙 큐레무	A	93	
master	kyogre	가이오가	A	93	
master	zekrom	제크로무	B	93	
master	marshadow	마샤도	B	93	
master	reshiram_shadow	그림자 레시라무	B	92	
master	eternatus	무한다이노	B	91	
master	palkia_shadow	그림자 펄기아	B	91	
master	lugia	루기아	B	91	
master	metagross_shadow	그림자 메타그로스	B	90	
master	lugia_shadow	그림자 루기아	B	90	
master	garchomp_shadow	그림자 한카리아스	B	90	
master	necrozma_dawn_wings	네크로즈마 (새벽의 날개)	B	90	
master	garchomp	한카리아스	C	89	
master	ho_oh	칠색조	C	89	
master	zygarde_complete	지가르데	C	89	
master	necrozma_dusk_mane	네크로즈마 (황혼의 갈기)	C	88	
master	groudon	그란돈	C	87	
master	solgaleo	솔가레오	C	87	
master	melmetal	멜메탈	C	87	
master	keldeo_resolute	케르디오	C	86	
master	primarina	누리레느	C	85	
master	ursaluna_shadow	그림자 다투곰	D	73	
master	ursaluna	다투곰	D	73	
